NUMBER,SCRIPT_ID,IMDB,TITLE,YEAR,GROSS,GENRE,AWARD,NOTES,X
1,623,tt0179626,15 Minutes,2001,37,action,1,,
2,1525,tt0974661,17 Again,2009,74,comedy,2,,
4,1509,tt1190080,2012,2009,192,sci-fi,2,,
5,1530,tt1622547,30 Minutes or Less,2011,40,comedy,0,,
6,1532,tt0083511,48 Hrs.,1982,224,comedy,3,,
7,1537,tt0134273,8MM,1999,62,crime,3,,
8,4022,tt0066921,A Clockwork Orange,1971,NA,sci-fi,3,,
9,2190,tt0097243,A Dry White Season,1989,8,drama,3,,
10,1538,tt0104257,A Few Good Men,1992,295,drama,3,,
12,1196,tt0087800,A Nightmare on Elm Street,1984,68,horror,1,,
13,4706,tt0093629,A Nightmare on Elm Street 3: Dream Warriors,1987,99,horror,1,,
14,4702,tt0095742,A Nightmare on Elm Street 4: The Dream Master,1988,104,horror,1,,
15,4703,tt0097981,A Nightmare on Elm Street 5: The Dream Child,1989,48,horror,1,razzie,
16,1455,tt0281358,A Walk to Remember,2002,61,drama,2,,
17,642,tt0094602,Above the Law,1988,40,crime,0,,
18,1545,tt0118548,Absolute Power,1997,94,crime,1,,
19,1559,tt0118564,Affliction,1997,11,crime,3,,
20,1564,tt0088683,Agnes of God,1985,NA,drama,3,,
21,647,tt0118571,Air Force One,1997,327,action,2,,
22,650,tt0083530,Airplane II: The Sequel,1982,NA,comedy,1,,
23,648,tt0080339,Airplane!,1980,269,comedy,0,,
24,653,tt0248667,Ali,2001,89,drama,3,,
25,1576,tt0078748,Alien,1979,6,sci-fi,2,,
28,1597,tt0090605,Aliens,1986,199,sci-fi,2,,
29,1582,tt0103644,Alien�_,1992,116,sci-fi,2,,
30,1606,tt0181875,Almost Famous,2000,52,comedy,1,,
31,1609,tt0369226,Alone in the Dark,2005,6,horror,1,razzies ,
32,664,tt0086879,Amadeus,1984,NA,drama,3,,
33,1613,tt1129445,Amelia,2009,16,drama,1,,
34,1615,tt0169547,American Beauty,1999,222,drama,3,,
35,665,tt0765429,American Gangster,2007,164,crime,3,,
36,666,tt0069704,American Graffiti,1973,565,comedy,3,,
37,1628,tt1800241,American Hustle,2013,160,drama,3,,
39,1634,tt0244000,American Outlaws,2001,20,action,1,,
40,1635,tt0163651,American Pie,1999,174,comedy,2,,
41,1639,tt0144084,American Psycho,2000,24,drama,1,,
43,1643,tt0305206,American Splendor,2003,8,comedy,3,,
44,674,tt0082010,An American Werewolf in London,1981,NA,horror,2,,
45,3838,tt0118604,An American Werewolf in Paris,1997,50,horror,2,,
46,1650,tt1174732,An Education,2009,14,drama,3,,
47,4738,tt0084434,An Officer and a Gentleman,1982,384,drama,3,,
48,1652,tt0122933,Analyze This,1999,183,comedy,3,,
50,1655,tt0225071,Angel Eyes,2001,36,drama,0,,
51,1657,tt0808151,Angels & Demons,2009,154,crime,1,,
52,1659,tt1781769,Anna Karenina,2012,13,drama,3,,
53,682,tt0075686,Annie Hall,1977,152,comedy,3,,
54,1667,tt1521197,Anonymous,2011,4,drama,2,,
55,1669,tt0218817,Antitrust,2001,16,action,2,,
57,1676,tt0078788,Apocalypse Now,1979,16,drama,3,,
58,1682,tt0118636,Apt Pupil,1998,16,horror,1,,
59,1684,tt1764183,Arbitrage,2012,8,drama,3,,
60,1689,tt0106303,Arctic Blue,1993,NA,action,0,,
61,1700,tt0082031,Arthur,1981,298,comedy,3,,
62,1702,tt0119822,As Good as It Gets,1997,280,comedy,3,,
63,1705,tt0112401,Assassins,1995,60,action,0,,
64,1710,tt0132512,At First Sight,1999,38,drama,0,,
65,699,tt0145660,Austin Powers: The Spy Who Shagged Me,1999,351,comedy,2,,
66,1716,tt2114461,Authors Anonymous,2014,NA,comedy,0,,
67,1717,tt0174480,Autumn in New York,2000,61,drama,1,razzie,
68,1718,tt0499549,Avatar,2009,882,sci-fi,3,,
69,1727,tt0449467,Babel,2006,45,drama,3,,
70,707,tt0086927,Bachelor Party,1984,99,comedy,0,,
71,1735,tt0101393,Backdraft,1991,160,action,2,,
72,1739,tt2350892,Bad Country,2014,NA,crime,0,,
74,712,tt0103759,Bad Lieutenant,1992,4,crime,1,,
75,1744,tt0307987,Bad Santa,2003,86,comedy,3,,
76,1747,tt0069762,Badlands,1973,NA,crime,3,,
77,714,tt0215545,Bamboozled,2000,3,comedy,3,,
78,716,tt0072684,Barry Lyndon,1975,NA,drama,3,,
79,715,tt0101410,Barton Fink,1991,12,comedy,3,,
80,1759,tt0264395,Basic,2003,38,action,1,stinkers,
81,718,tt0103772,Basic Instinct,1992,247,drama,2,,
82,1762,tt0115632,Basquiat,1996,5,drama,1,,
83,725,tt0096895,Batman,1989,550,action,3,,
84,1789,tt0118689,Bean,1997,85,comedy,1,,
85,1792,tt2125435,Beasts of the Southern Wild,2012,13,drama,3,,
86,729,tt0115641,Beavis and Butt-Head Do America,1996,124,comedy,2,,
87,3909,tt0094721,Beetlejuice,1988,155,comedy,2,,
88,1796,tt1532503,Beginners,2010,6,comedy,3,,
89,734,tt0106379,Being Human,1994,3,drama,0,,
90,1801,tt0120601,Being John Malkovich,1999,39,sci-fi,3,,
91,1802,tt0078841,Being There,1979,NA,drama,3,,
92,1807,tt0120603,Beloved,1998,42,drama,2,sat,
93,3918,tt0276816,Below,2002,0,horror,1,,
94,1811,tt0094737,Big,1988,243,comedy,3,,
95,740,tt0319061,Big Fish,2003,95,sci-fi,3,,
96,1831,tt0188453,Birthday Girl,2001,7,crime,0,,
97,744,tt0096933,Black Rain,1989,99,crime,2,,
98,1838,tt0462200,Black Snake Moan,2006,12,drama,1,,
99,1841,tt0947798,Black Swan,2010,117,drama,3,,
100,1843,tt0120611,Blade,1998,129,horror,1,,
101,1846,tt0187738,Blade II,2002,122,horror,1,,
102,1849,tt0083658,Blade Runner,1982,4,sci-fi,2,,
103,3936,tt0359013,Blade: Trinity,2004,73,horror,1,,
104,1853,tt0124298,Blast from the Past,1999,45,comedy,1,,
105,1858,tt0115710,Blood and Wine,1996,2,crime,1,,
106,1861,tt0086979,Blood Simple.,1984,4,crime,1,,
107,4589,tt0112533,Bloodfist VII: Manhunt,1995,NA,action,0,,
108,1863,tt0221027,Blow,2001,81,drama,1,,
109,1866,tt0090756,Blue Velvet,1986,20,drama,3,,
110,1870,tt0106447,Bodies Rest & Motion,1993,1,drama,1,,
111,1872,tt0082089,Body Heat,1981,NA,drama,3,,
112,757,tt0106453,Body of Evidence,1993,27,crime,1,,
113,3951,tt0181984,Boiler Room,2000,27,drama,2,,
